Institution,Out of Range TOEFL,Fringe TOEFL Range Min,Fringe TOEFL Range Max,High Risk TOEFL Range Min,High Risk TOEFL Range Max,Medium Risk TOEFL Range Min,Medium Risk TOEFL Range Max,Low Risk TOEFL Range Min,Low Risk TOEFL Range Max,Out of Range RSAT,Fringe RSAT Min,Fringe RSAT Max,High Risk RSAT Range Min,High Risk RSAT Range Max,Medium Risk RSAT Range Min,Medium Risk RSAT Range Max,Low Risk RSAT Range Min,Low Risk RSAT Range Max
University of Rochester,96,97,97,98,99,100,109,110,120,1330,1340,1350,0,0,1360,1480,1490,1600
Occidental College,96,97,98,99,103,104,120,0,0,1260,1270,1290,1290,1390,1400,1600,0,0
University of Wisconsin-Madison,95,96,97,98,99,100,101,102,120,1410,1420,1430,0,0,1360,1430,1440,1600
"Pennsylvania State University, University Park",95,96,97,98,99,100,101,102,120,1400,1410,1420,0,0,1360,1420,1430,1600
Whitman College,95,96,97,98,99,100,120,0,0,1380,1390,1400,0,0,1410,1600,0,0
Southern Methodist University,95,96,97,98,99,100,101,102,120,1370,1380,1390,0,0,0,0,1400,1600
Purdue University,95,96,97,98,99,100,101,102,120,1300,1310,1320,0,0,1330,1480,1490,1600
University of Washington,94,95,96,97,99,100,110,111,120,1420,1430,1440,0,0,1260,1440,1450,1600
Colby College,94,95,97,98,105,106,120,0,0,1390,1400,1420,1430,1440,1450,1600,0,0
"Emory University, Oxford College",93,94,96,97,120,0,0,0,0,1330,1340,1350,1360,1520,1530,1600,0,0
Tulane University,92,93,93,94,95,111,120,96,110,1220,1250,1230,0,0,1450,1600,1260,1440
"University of California, Santa Barbara",91,92,93,0,0,94,106,107,120,1430,1440,1450,0,0,1260,1450,1460,1600
Dickinson College,91,92,93,94,95,96,97,98,120,1350,1360,1370,0,0,0,0,1380,1600
Franklin and Marshall College,91,92,93,94,95,96,97,98,120,1340,1350,1360,0,0,0,0,1370,1600
"University of California, Davis",91,92,93,94,95,96,97,98,120,1330,1340,1350,0,0,0,0,1360,1600
Northeastern University,91,92,93,0,0,94,104,105,120,1300,1310,1320,0,0,0,0,1330,1600
Furman University,91,92,93,94,95,96,97,98,120,1300,1310,1320,0,0,0,0,1330,1600
Boston University,90,91,93,94,109,110,120,0,0,1360,1390,1370,1400,1520,0,0,1530,1600
"University of California, Irvine",90,91,93,94,101,0,0,102,120,1290,1300,1310,1320,1340,1350,1390,1400,1600
Mount Holyoke College,89,90,92,0,0,0,0,93,120,1260,1270,1280,0,0,0,0,1290,1600
The George Washington University,87,88,89,90,91,92,94,95,120,1310,1320,1350,1560,1600,0,0,1360,1550
Skidmore College,87,88,89,90,91,92,95,96,120,1230,1240,1250,0,0,0,0,1260,1600
Bard College,87,88,89,90,91,92,95,96,120,1230,1240,1250,0,0,0,0,1260,1600
Pitzer College,84,85,87,88,120,0,0,0,0,1410,1420,1440,1450,1520,1530,1600,0,0
